timestamp,open,high,low,close,volume
2018-03-28,180.7300,183.4400,177.5700,178.9100,20081071
2018-03-27,192.2400,192.2500,180.6600,181.8900,16627873
2018-03-26,187.8900,190.6200,184.3200,190.5000,16758711
2018-03-23,186.8500,188.4800,180.4010,181.2000,18714404
2018-03-22,190.7500,192.3900,184.6000,184.6500,25355700
2018-03-21,198.8000,198.8800,194.5700,195.3000,12047301
2018-03-20,194.9500,199.2100,194.5400,198.9500,11952024
2018-03-19,198.0000,198.4300,192.8010,194.5300,19681421
2018-03-16,198.4000,200.3800,197.2600,200.2800,26948659
2018-03-15,198.4400,201.5000,196.5200,199.0600,33626797
2018-03-14,190.2900,193.6300,190.2200,192.5600,20032271
2018-03-13,193.8800,194.2500,187.3900,188.4100,14826665
2018-03-12,192.3000,194.4000,190.9000,192.7400,17826186
2018-03-09,189.6400,190.7000,188.0100,190.5500,14208356
2018-03-08,189.0500,190.2300,186.5699,187.1800,14331400
2018-03-07,184.3700,189.0700,184.3200,189.0500,13728910
2018-03-06,185.1900,188.0100,184.8200,187.3700,17856088
2018-03-05,179.4100,181.9500,177.0700,181.6000,15656661
2018-03-02,178.0100,180.2300,175.4500,179.7600,18909073
2018-03-01,186.1800,187.4800,180.0500,181.9900,17286309
2018-02-28,187.2500,188.2400,185.0000,186.1400,19367576
2018-02-27,192.5900,193.5667,187.2100,188.2600,23218450
2018-02-26,194.4600,195.1500,190.6500,194.1900,19463072
2018-02-23,190.1800,193.4050,189.9500,193.2900,16937275
2018-02-22,190.2000,190.7400,187.7700,188.7500,12282843
2018-02-21,189.3700,193.1700,188.4600,188.8200,22071585
2018-02-20,183.6700,188.8300,183.0000,187.1900,14854901
2018-02-16,186.7500,188.2700,183.5400,183.6800,16114051
2018-02-15,189.2500,189.5600,184.4310,187.4500,14361054
2018-02-14,179.2200,186.9300,178.9002,186.7600,21047363
2018-02-13,177.4200,182.1500,177.0000,179.2500,15506955
2018-02-12,180.4400,180.7900,175.0861,177.4400,18280259
2018-02-09,175.1200,177.6164,168.8800,176.6700,28049543
2018-02-08,182.2700,183.1000,171.3900,173.7000,32051274
2018-02-07,183.5000,186.8300,180.3000,180.3000,19672104
2018-02-06,174.7200,185.5900,174.1700,185.1700,35804470
2018-02-05,183.7000,190.4699,179.9000,180.5300,31083967
2018-02-02,194.7900,195.6800,186.8000,187.3100,32233916
2018-02-01,192.7500,199.4900,191.1400,192.2200,52628863
2018-01-31,202.8200,206.2000,202.8000,204.2900,26982494
2018-01-30,198.6800,202.5400,196.4900,199.6600,23377519
2018-01-29,204.8300,205.6900,201.8200,203.0100,21908591
2018-01-26,200.3300,205.2300,199.2100,205.2200,23768628
2018-01-25,196.3400,199.5900,194.1001,198.3300,23421605
2018-01-24,194.7100,198.8600,192.4000,195.5300,34497260
2018-01-23,185.2800,192.4000,183.5400,192.2800,31305926
2018-01-22,184.9750,185.0400,181.6800,184.0200,16016347
2018-01-19,185.1500,185.2390,182.8000,184.0500,15349322
